Device Name,Port,Description,PID,VID,SN
ARG-SF-01,HundredGigE0/0/0/0,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW214401AQ-B
ARG-SF-01,HundredGigE0/0/0/9,Cisco QSFP28 100G FR Pluggable Optics Module,QSFP-100G-FR-S,V02,FBN2628A09Q
ARG-SF-01,FourHundredGigE0/0/0/10,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290871
ARG-SF-01,FourHundredGigE0/0/0/11,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25230459
ARG-SF-01,FourHundredGigE0/0/0/12,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25230452
ARG-SF-01,FourHundredGigE0/0/0/13,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290735
ARG-SF-01,FourHundredGigE0/0/0/14,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25230373
ARG-SF-01,HundredGigE0/0/0/16,Cisco QSFP28 100G LR4 Pluggable Optics Module,QSFP-100G-LR4-S,V01,FNS211508J7
ARG-SF-01,HundredGigE0/0/0/17,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V01,AVF2111G1HT
ARG-SF-01,HundredGigE0/0/0/19,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW214401Y8-B
ARG-SF-01,HundredGigE0/0/0/20,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V02,AVF2146S2CD
ARG-SF-01,HundredGigE0/0/0/25,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW21440216-A
ARG-SF-01,HundredGigE0/0/0/27,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC1M,V01,FIW204202XC-A
ARG-SF-01,FortyGigE0/0/0/30,Cisco QSFP+ 40G SR4 Pluggable Optics Module,QSFP-40G-SR4-S,V02,AVP2026S08B
ARG-SF-02,FourHundredGigE0/0/0/10,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290888
ARG-SF-02,FourHundredGigE0/0/0/11,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290546
ARG-SF-02,FourHundredGigE0/0/0/12,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290943
ARG-SF-02,FourHundredGigE0/0/0/13,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25230367
ARG-SF-02,FourHundredGigE0/0/0/14,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290859
ARG-SF-02,HundredGigE0/0/0/17,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V02,AVF2146S55N
ARG-SF-02,HundredGigE0/0/0/19,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW214401ET-B
ARG-SF-02,HundredGigE0/0/0/20,Cisco QSFP28 100G LR4 Pluggable Optics Module,QSFP-100G-LR4-S,V02,OPM23410N21
ARG-SF-02,HundredGigE0/0/0/27,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC1M,V01,FIW204202XC-B
CRE-9364-1,"""Chassis""","""Nexus9000 C9364D-GX2A Chassis""",N9K-C9364D-GX2A,N/A,FDO26490P3Z
CRE-9364-1,"""Slot 1""","""64x400G QSFP-DD + 2x10G SFP+ Ethernet Module""",N9K-C9364D-GX2A,N/A,FDO26490P3Z
CRE-9364-1,"""Slot 27""","""64x400G QSFP-DD + 2x10G SFP+ Ethernet Module""",N9K-C9364D-GX2A,N/A,FDO26490P3Z
CRE-9364-1,"""Power Supply 1""","""Nexus9000 C9364D-GX2A Chassis Power Supply""",NXA-PAC-3200W-PI,N/A,DTM262700FT
CRE-9364-1,"""Power Supply 2""","""Nexus9000 C9364D-GX2A Chassis Power Supply""",NXA-PAC-3200W-PI,N/A,DTM262700FP
CRE-9364-1,"""Fan 1""","""Nexus9000 C9364D-GX2A Chassis Fan Module""",NXASFAN-160CFM2PI,N/A,N/A
CRE-9364-1,"""Fan 2""","""Nexus9000 C9364D-GX2A Chassis Fan Module""",NXASFAN-160CFM2PI,N/A,N/A
CRE-9364-1,"""Fan 3""","""Nexus9000 C9364D-GX2A Chassis Fan Module""",NXASFAN-160CFM2PI,N/A,N/A
CRE-9364-1,"""Fan 4""","""Nexus9000 C9364D-GX2A Chassis Fan Module""",NXASFAN-160CFM2PI,N/A,N/A
CRE-9364-1,Ethernet1/3,CISCO-FINISAR,SFP-10/25G-CSR,N/A,FNS2604018D
CRE-9364-1,Ethernet1/41,CISCO-FOIT,QSFP-40/100-SRBD,N/A,FOF2319N1YP
CRE-9364-1,Ethernet1/42,CISCO-FOIT,QSFP-40/100-SRBD,N/A,FOF2208N01H
CRE-9364-1,Ethernet1/43,CISCO-FOIT,QSFP-40/100-SRBD,N/A,FOF2207N1AU
CRE-9364-1,Ethernet1/44,CISCO-CIG,QDD-400G-FR4-S,N/A,CGC25230345
CRE-9364-1,Ethernet1/45,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2212S0Y3
CRE-9364-1,Ethernet1/46,CISCO-INNOLIGHT,QSFP-100G-SR4-S,N/A,INL23351392
CRE-9364-1,Ethernet1/53,CISCO-INNOLIGHT,QSFP-100G-SR4-S,N/A,INL23351411
CRE-9364-1,Ethernet1/59,CISCO-INNOLIGHT,QSFP-100G-SR4-S,N/A,INP264800EP
CRE-9364-1,Ethernet1/61,CISCO-INNOLIGHT,QSFP-100G-SR4-S,N/A,INP2831006F
CRE-9364-1,Ethernet1/65,CISCO-SUMITOMO,SFP-10G-SR,N/A,SPC151801N7
