Device Name,Port,Description,PID,VID,SN,Operational_State
ARG-SF-02,FourHundredGigE0/0/0/10,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290888,UP/UP
ARG-SF-02,FourHundredGigE0/0/0/11,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290546,UP/UP
ARG-SF-02,FourHundredGigE0/0/0/12,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290943,UP/UP
ARG-SF-02,FourHundredGigE0/0/0/13,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25230367,UP/UP
ARG-SF-02,FourHundredGigE0/0/0/14,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290859,UP/UP
ARG-SF-02,HundredGigE0/0/0/17,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V02,AVF2146S55N,DOWN/DOWN
ARG-SF-02,HundredGigE0/0/0/19,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW214401ET-B,UP/UP
ARG-SF-02,HundredGigE0/0/0/20,Cisco QSFP28 100G LR4 Pluggable Optics Module,QSFP-100G-LR4-S,V02,OPM23410N21,UP/UP
ARG-SF-02,HundredGigE0/0/0/27,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC1M,V01,FIW204202XC-B,DOWN/DOWN
ARG-SF-01,HundredGigE0/0/0/0,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW214401AQ-B,UP/UP
ARG-SF-01,HundredGigE0/0/0/9,Cisco QSFP28 100G FR Pluggable Optics Module,QSFP-100G-FR-S,V02,FBN2628A09Q,DOWN/DOWN
ARG-SF-01,FourHundredGigE0/0/0/10,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290871,UP/UP
ARG-SF-01,FourHundredGigE0/0/0/11,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25230459,UP/UP
ARG-SF-01,FourHundredGigE0/0/0/12,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25230452,UP/UP
ARG-SF-01,FourHundredGigE0/0/0/13,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290735,UP/UP
ARG-SF-01,FourHundredGigE0/0/0/14,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25230373,UP/UP
ARG-SF-01,HundredGigE0/0/0/16,Cisco QSFP28 100G LR4 Pluggable Optics Module,QSFP-100G-LR4-S,V01,FNS211508J7,DOWN/DOWN
ARG-SF-01,HundredGigE0/0/0/17,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V01,AVF2111G1HT,UP/UP
ARG-SF-01,HundredGigE0/0/0/19,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW214401Y8-B,UP/UP
ARG-SF-01,HundredGigE0/0/0/20,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V02,AVF2146S2CD,UP/UP
ARG-SF-01,HundredGigE0/0/0/25,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW21440216-A,UP/UP
ARG-SF-01,HundredGigE0/0/0/27,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC1M,V01,FIW204202XC-A,DOWN/DOWN
ARG-SF-01,FortyGigE0/0/0/30,Cisco QSFP+ 40G SR4 Pluggable Optics Module,QSFP-40G-SR4-S,V02,AVP2026S08B,DOWN/DOWN
ARE-93180-1,"""Chassis""","""Nexus9000 C93180YC-FX3 Chassis""",N9K-C93180YC-FX3,N/A,FDO25480L0P,DOWN
ARE-93180-1,"""Slot 1""","""48x10/25G + 6x40/100G Ethernet Module""",N9K-C93180YC-FX3,N/A,FDO25480L0P,DOWN
ARE-93180-1,"""Slot 27""","""48x10/25G + 6x40/100G Ethernet Module""",N9K-C93180YC-FX3,N/A,FDO25480L0P,DOWN
ARE-93180-1,"""Power Supply 1""","""Nexus9000 C93180YC-FX3 Chassis Power Supply""",NXA-PAC-650W-PI,N/A,LIT2538A532,DOWN
ARE-93180-1,"""Power Supply 2""","""Nexus9000 C93180YC-FX3 Chassis Power Supply""",NXA-PAC-650W-PI,N/A,LIT2538A529,DOWN
ARE-93180-1,"""Fan 1""","""Nexus9000 C93180YC-FX3 Chassis Fan Module""",NXA-FAN-35CFM-PI,N/A,N/A,DOWN
ARE-93180-1,"""Fan 2""","""Nexus9000 C93180YC-FX3 Chassis Fan Module""",NXA-FAN-35CFM-PI,N/A,N/A,DOWN
ARE-93180-1,"""Fan 3""","""Nexus9000 C93180YC-FX3 Chassis Fan Module""",NXA-FAN-35CFM-PI,N/A,N/A,DOWN
ARE-93180-1,"""Fan 4""","""Nexus9000 C93180YC-FX3 Chassis Fan Module""",NXA-FAN-35CFM-PI,N/A,N/A,DOWN
ARE-93180-1,Ethernet1/4,CISCO-SUMITOMO,SFP-10G-SR,N/A,SPC15170B1G,UP
ARE-93180-1,Ethernet1/5,CISCO-SUMITOMO,SFP-10G-SR,N/A,SPC1518078W,UP
ARE-93180-1,Ethernet1/6,CISCO-SUMITOMO,SFP-10G-SR,N/A,SPC151800CK,UP
ARE-93180-1,Ethernet1/7,CISCO-SUMITOMO,SFP-10G-SR,N/A,SPC15170AJ2,UP
ARE-93180-1,Ethernet1/8,CISCO-SUMITOMO,SFP-10G-SR,N/A,SPC15170BNP,UP
ARE-93180-1,Ethernet1/9,CISCO-SUMITOMO,SFP-10G-SR,N/A,SPC15170B6H,UP
ARE-93180-1,Ethernet1/10,CISCO-OPLINK,SFP-10G-SR,N/A,OPM254117QM,UP
ARE-93180-1,Ethernet1/11,CISCO-SUMITOMO,SFP-10G-SR,N/A,SPC15170BHN,UP
ARE-93180-1,Ethernet1/12,CISCO-METHODE,GLC-T,N/A,MTC18350CNN,UP
ARE-93180-1,Ethernet1/17,CISCO-FINISAR,SFP-10G-SR,N/A,FNS154326VD,ADMIN_DOWN
ARE-93180-1,Ethernet1/18,CISCO-JDSU,SFP-10G-SR,N/A,JUR2020G07A,ADMIN_DOWN
ARE-93180-1,Ethernet1/19,CISCO-JDSU,SFP-10G-SR,N/A,JUR18480E0U,ADMIN_DOWN
ARE-93180-1,Ethernet1/20,CISCO-FINISAR,SFP-25G-SR-S,N/A,FNS231708UG,UP
ARE-93180-1,Ethernet1/21,CISCO-FINISAR,SFP-25G-SR-S,N/A,FNS231709JL,UP
ARE-93180-1,Ethernet1/49/1,CISCO,QSFP-40G-SR4,N/A,FIS180600HH,UP
ARE-93180-1,Ethernet1/49/2,CISCO,QSFP-40G-SR4,N/A,FIS180600HH,UP
ARE-93180-1,Ethernet1/49/3,CISCO,QSFP-40G-SR4,N/A,FIS180600HH,UP
ARE-93180-1,Ethernet1/49/4,CISCO,QSFP-40G-SR4,N/A,FIS180600HH,UP
ARE-93180-1,Ethernet1/51,CISCO-FOIT,QSFP-40/100-SRBD,N/A,FOF2208N01Y,ADMIN_DOWN
ARE-93180-1,Ethernet1/52,CISCO-FOIT,QSFP-40/100-SRBD,N/A,FOF2319N1W0,ADMIN_DOWN
ARE-93180-1,Ethernet1/53,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2051G03C,UP
ORC43,FourHundredGigE0/0/0/9,Cisco QSFPDD 400G DR4 Pluggable Optics Module,QDD-400G-DR4-S,V02,INL26040C32,DOWN/DOWN
ORC43,HundredGigE0/1/0/0,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V03,FIW250302NY,UP/UP
ORC43,HundredGigE0/1/0/1,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V03,INP2831004H,UP/UP
ORC43,HundredGigE0/1/0/2,Cisco QSFP28 100G LR Pluggable Optics Module,QSFP-100G-LR-S,V02,FBN2739B01H,DOWN/DOWN
ORC43,HundredGigE0/1/0/11,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V03,INL23351384,UP/UP
ORC43,HundredGigE0/1/0/32,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V02,AVF2212S0PN,UP/UP
